id,number,title,state,user_login,labels,created_at,updated_at,closed_at,comments,body,_extracted_at,_execution_id,_repository_full_name
1001,1,Setup CI/CD pipeline,closed,johndoe,"bug,enhancement",2024-01-16T10:00:00Z,2024-01-20T15:30:00Z,2024-01-20T15:30:00Z,5,Need to setup GitHub Actions for automated testing and deployment,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
1002,2,Add documentation for API endpoints,open,contributor1,"documentation",2024-02-05T14:20:00Z,2024-12-30T09:15:00Z,,12,API endpoints need comprehensive documentation with examples,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
1003,3,Fix memory leak in background worker,closed,johndoe,"bug,priority-high",2024-03-10T11:45:00Z,2024-03-15T16:20:00Z,2024-03-15T16:20:00Z,8,Background worker consuming too much memory over time,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
1004,4,Implement rate limiting,open,contributor2,"enhancement,security",2024-11-20T08:30:00Z,2025-01-02T10:45:00Z,,3,Add rate limiting to prevent API abuse,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
2001,1,Database migration failing,closed,developer1,"bug,database",2023-07-15T09:20:00Z,2023-07-16T14:30:00Z,2023-07-16T14:30:00Z,6,Migration script v2.3 fails on production database,2025-01-03T02:00:00Z,exec-20250103-001,acmecorp/enterprise-api
2002,2,Add authentication middleware,closed,developer2,"enhancement,security",2023-08-22T10:15:00Z,2023-09-05T16:45:00Z,2023-09-05T16:45:00Z,15,Implement JWT-based authentication middleware,2025-01-03T02:00:00Z,exec-20250103-001,acmecorp/enterprise-api
2003,3,Improve API response time,open,developer1,"performance",2024-10-10T13:40:00Z,2024-12-20T11:20:00Z,,9,API endpoints taking >500ms on average,2025-01-03T02:00:00Z,exec-20250103-001,acmecorp/enterprise-api
2004,4,Add GraphQL support,open,developer3,"enhancement",2024-12-01T15:00:00Z,2024-12-28T09:30:00Z,,7,Consider adding GraphQL endpoint alongside REST,2025-01-03T02:00:00Z,exec-20250103-001,acmecorp/enterprise-api
3001,1,Setup dbt project structure,closed,janedoe,"setup",2024-03-21T10:00:00Z,2024-03-22T14:15:00Z,2024-03-22T14:15:00Z,2,Initialize dbt project with proper folder structure,2025-01-03T02:00:00Z,exec-20250103-001,janedoe/data-pipeline
3002,2,Add data quality tests,open,janedoe,"testing,quality",2024-04-15T11:30:00Z,2024-12-15T16:20:00Z,,4,Implement comprehensive data quality tests,2025-01-03T02:00:00Z,exec-20250103-001,janedoe/data-pipeline
4001,1,Update dependencies,closed,maintainer1,"maintenance",2024-08-10T09:00:00Z,2024-08-11T10:30:00Z,2024-08-11T10:30:00Z,3,Update all npm packages to latest versions,2025-01-03T02:00:00Z,exec-20250103-001,techcorp/frontend-app
4002,2,Implement dark mode,open,designer1,"enhancement,ui",2024-09-05T14:20:00Z,2025-01-01T18:45:00Z,,18,Add dark mode theme support,2025-01-03T02:00:00Z,exec-20250103-001,techcorp/frontend-app
4003,3,Fix mobile responsiveness,closed,developer4,"bug,ui,mobile",2024-11-12T10:15:00Z,2024-11-18T15:30:00Z,2024-11-18T15:30:00Z,11,Layout breaks on mobile devices,2025-01-03T02:00:00Z,exec-20250103-001,techcorp/frontend-app
5001,1,Add config file support,closed,contributor5,"enhancement",2023-12-01T11:20:00Z,2023-12-10T16:45:00Z,2023-12-10T16:45:00Z,14,Support YAML/JSON config files,2025-01-03T02:00:00Z,exec-20250103-001,oss-community/cli-tool
5002,2,Command autocomplete not working,open,user1,"bug",2024-06-15T09:30:00Z,2024-11-20T14:10:00Z,,5,Tab completion fails in zsh,2025-01-03T02:00:00Z,exec-20250103-001,oss-community/cli-tool
