flight_booking_id,traveler_id,airline_id,origin_id,destination_id,booking_date,amount
FB001,T001,A001,D001,D003,2024-03-01,85000
FB002,T001,A001,D003,D001,2024-03-15,82000
FB003,T002,A002,D002,D004,2024-03-05,45000
FB004,T002,A002,D004,D002,2024-03-12,43000
FB005,T002,A004,D002,D010,2024-06-01,120000
FB006,T003,A003,D003,D001,2024-04-10,78000
FB007,T004,A003,D003,D005,2024-04-15,65000
FB008,T005,A005,D001,D005,2024-05-01,55000
FB009,T005,A001,D005,D001,2024-05-10,58000
FB010,T006,A003,D008,D006,2024-05-20,32000
FB011,T007,A001,D001,D009,2024-06-01,42000
FB012,T007,A001,D009,D001,2024-06-08,40000
FB013,T007,A005,D001,D005,2024-07-01,56000
FB014,T008,A002,D004,D002,2024-06-15,48000
FB015,T009,A003,D006,D003,2024-07-01,35000
FB016,T010,A004,D010,D001,2024-07-10,95000
FB017,T010,A001,D001,D010,2024-07-20,92000
FB018,T011,A002,D002,D008,2024-08-01,68000
FB019,T012,A003,D003,D004,2024-08-10,28000
FB020,T013,A005,D009,D005,2024-08-15,38000
FB021,T014,A004,D010,D006,2024-09-01,72000
FB022,T015,A005,D007,D005,2024-09-10,52000
FB023,T016,A001,D001,D002,2024-09-15,110000
FB024,T016,A002,D002,D001,2024-09-25,105000
FB025,T017,A002,D002,D003,2024-10-01,55000
FB026,T018,A003,D003,D010,2024-10-10,88000
FB027,T019,A005,D001,D007,2024-10-15,75000
FB028,T001,A004,D001,D010,2024-11-01,130000
FB029,T003,A001,D003,D009,2024-11-10,90000
FB030,T005,A005,D001,D003,2024-11-15,80000
